,rel,query,author_name
22156,4,Computer Graphics,Sangeeta N. Bhatia
29628,1,Software Engineering,Michael I. Jordan
37106,3,Autonomous Systems,Milad Ramezani
38671,1,Computer Aided Engineering,Karim Abdel-Malek
45389,4,Workflow Management,Shrikant Kulkarni
31840,1,Computational Biology,Ilya Shmulevich
36950,1,Digital Forensics,Maurice Dawson
30349,3,Information Security,Jilles Vreeken
44996,2,Web Services,Emina Torlak
30346,3,Network Security,Michael E. Whitman
36837,1,Green Computing,Humayan Kabir Rana
30044,4,Database Systems,Jeffrey Alan Johnson
29622,5,Big Data Analytics,Katy Wolstencroft
29489,4,Big Data Analytics,Rajesh K. Gupta
39261,1,Network Management,Ranveer Chandra
25401,2,Cybersecurity,Wonjun Lee
39136,1,IT Governance,Henri Servaes
39945,5,Quantitative Analysis,Boris V. Schmid
36407,3,Pattern Recognition,Chaoyou Fu
8377,5,Artificial Intelligence,Jiasen Lu
29861,3,Software Engineering,Dervis Karaboga
41233,2,Software Testing,M. Ali Babar
23411,1,Blockchain Technology,Alejandro Ranchal-Pedrosa
29839,2,Software Engineering,Kaushik Roy
38739,2,Artificial Intelligence Ethics,Matthias Uhl
28004,2,Bioinformatics,Burkhard Rost
39895,2,Quantitative Analysis,Chris Maliepaard
8711,4,Machine Learning,Seyed-Ahmad Ahmadi
30052,4,Database Systems,Diego Lugones
20423,3,Computer Vision,Andrew McCallum
26265,4,Robotics,Tully Foote
31356,1,Parallel Computing,Sayantan Chakravorty
21126,3,Scientific Computing,Anders Krogh
30045,4,Database Systems,Isaac Balbin
39069,5,Health Informatics,Jiang Bian
32483,2,Operating Systems,Christian Dietrich
25364,1,Cybersecurity,Nor Badrul Anuar
41048,1,Search Engine Optimization,Rohit Kumar
37336,1,Business Intelligence,Luis G. Vargas
38697,1,Content Delivery Networks,Carlos Diego Nascimento Damasceno
31618,4,Distributed Systems,Robert Müller
32109,1,Computer Architecture,José L. Risco-Martín
22319,1,Human-Computer Interaction,Luca Chittaro
41082,1,Sensor Networks,Tobias Brosch
4967,2,Artificial Intelligence,John Winn
22326,1,Human-Computer Interaction,James Morris
32126,2,Computer Architecture,Henryk Krawczyk
41046,5,Scientific Computing,Paul Hopkins
22151,4,Computer Vision,Pascal Fua
41279,2,Software Testing,Jim Woodcock
41815,1,Supply Chain Management Systems,Mike Hewitt
36666,5,Pattern Recognition,Tianli Zhao
29621,5,Big Data Analytics,Bissan Al-Lazikani
31736,1,Game Development,Yoones A. Sekhavat
34969,5,High-Performance Computing,Varun Narasimhachar
19690,2,Scientific Computing,Olaf Ronneberger
8871,4,Machine Learning,Anders Søgaard
44997,2,Web Services,Seongik Hong
29449,3,Big Data Analytics,Gavin Shaddick
26318,5,Robotics,Supun Samarasekera
28975,2,Big Data Analytics,Lionel Ni
37108,3,Autonomous Systems,Robert H. Wortham
11021,2,Data Mining,Guillaume Jacquet
8660,3,Deep Learning,Ralf Schlüter
35360,2,Embedded Systems,Heiko Falk
38265,1,System Dynamics,Kai Sundmacher
22312,1,Human-Computer Interaction,Ann Blandford
31830,1,Computational Biology,Lior Pachter
8433,5,Artificial Intelligence,Bing Xue
42450,1,Virtualization Technology,Fred C. Lee
36942,1,Digital Forensics,Rain Ottis
21117,3,Computer Graphics,Nir Friedman
25292,1,Network Security,Jian Weng
25572,5,Cybersecurity,George Loukas
33429,1,Digital Signal Processing,Adel S. El-Fishawy
31819,4,Game Development,Alexandre Vaugoux
31713,1,Game Development,Andrew Hogue
31827,1,Computational Biology,Alexei J. Drummond
4845,1,Reinforcement Learning,Samir Bhatt
37363,2,Business Intelligence,Michele Treccani
23095,4,Cryptography,Aritra Banerjee
23415,1,Virtual Reality,Steven M. LaValle
22454,4,Human-Computer Interaction,David Lamas
36945,1,Digital Forensics,Risto Vaarandi
38723,1,Artificial Intelligence Ethics,Serafín Moral
29484,4,Big Data Analytics,S. Cenk Sahinalp
30212,1,Information Security,Dániel Marx
8370,3,Statistical Learning,Benjamin Schrauwen
42519,2,Virtualization Technology,Marc Edwards
29551,1,Database Systems,Keng Siau
19658,2,Computer Graphics,Leonidas Guibas
36605,4,Pattern Recognition,Luca Liparulo
23045,2,Cryptography,Ahmad Al Badawi
30050,4,Database Systems,Jang Ho Kim
33452,1,Wireless Communications,Lie-Liang Yang
24152,1,Mobile Computing,Saleh M. Altowaijri
24098,1,Cloud Computing,Srini Ramaswamy
42913,1,Visual Analytics,Alessio Arleo
42316,4,System Integration,Friedrich Krebs
22413,3,Human-Computer Interaction,Oliver Korn
39095,5,Health Informatics,Weijun Luo
23486,4,Virtual Reality,Muzi Li
39127,4,Information Security,Igino Corona
64,2,Natural Language Processing,Katrin Schweitzer
11009,2,Data Mining,Xingjie Liu
24202,3,Cloud Computing,Deepti Sharma
29960,5,Software Engineering,Massoud Pedram
41584,3,Software Testing,Katsuro Inoue
32522,4,Operating Systems,Manuel Nieke
30064,5,Database Systems,Lars Gleim
39204,4,IT Governance,Tiberio Daddi
